2018-01-15 04:06:23 Unknown item (entry=1906) in creature_equip_template.itemEntry2 for entry = 500, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2551) in creature_equip_template.itemEntry3 for entry = 500, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry1 for entry = 502, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry2 for entry = 502, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5278) in creature_equip_template.itemEntry1 for entry = 504, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2183) in creature_equip_template.itemEntry1 for entry = 506, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=11763) in creature_equip_template.itemEntry1 for entry = 507, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=6233) in creature_equip_template.itemEntry1 for entry = 511, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2023) in creature_equip_template.itemEntry1 for entry = 513, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1903) in creature_equip_template.itemEntry2 for entry = 514, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry1 for entry = 515, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1896) in creature_equip_template.itemEntry1 for entry = 516, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 517, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2179) in creature_equip_template.itemEntry1 for entry = 518, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5745) in creature_equip_template.itemEntry1 for entry = 520, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2711) in creature_equip_template.itemEntry1 for entry = 531, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry1 for entry = 535, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2182) in creature_equip_template.itemEntry1 for entry = 536, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1904) in creature_equip_template.itemEntry1 for entry = 538, forced to 0.
